6.6094,68.92
7.2975,77.906
8.9075,89.637
9.823,95.927
7.6903,81.083
5.8145,62.036
9.2831,92.993
5.8009,65.089
0.16983,19.168
1.2086,25.59
8.6271,87.003
4.843,55.243
8.4486,83.259
2.0941,32.815
5.5229,63.658
6.2988,65.748
0.31991,18.772
6.1471,64.446
3.6241,46.202
0.49533,19.029
4.8957,58.652
1.9251,31.384
1.2308,25.314
2.0549,32.976
1.4651,29.001
1.8907,30.634
0.42652,23.389
6.352,67.476
2.8187,39.036
5.386,58.398
6.9516,72.104
4.9912,55.161
5.358,60.391
4.4518,54.422
1.2393,28.07
4.9036,54.678
8.53,83.644
8.7393,88.8
2.7029,41.149
2.0846,34.346
5.6498,60.744
6.4031,70.354
4.1703,50.053
2.0598,32.948
9.4793,94.566
0.82071,21.617
1.0571,23.699
1.4204,29.703
1.6646,31.334
6.2096,67.307
5.7371,64.545
0.52078,22.702
9.312,93.403
7.2866,74.733
7.3784,77.49
0.63405,22.856
8.6044,85.818
9.3441,90.06
9.844,97.653
8.5894,85.403
7.8556,80.884
5.1338,59.776
1.776,29.732
3.9859,47.527
1.3393,28.462
0.3089,19.897
9.3914,94.584
3.0131,43.099
2.9553,42.314
3.3294,41.892
4.6707,52.73
6.482,67.299
0.25228,21.01
8.4221,87.092
5.5903,63.141
8.541,83.988
3.4788,46.444
4.4603,51.234
0.54239,19.927
1.7711,32.372
6.6281,69.669
3.3083,44.735
8.9849,90.625
1.1816,27.368
9.8842,97.774
5.3998,59.373
7.0692,75.228
9.9949,99.812
2.8785,42.363
4.1452,48.593
4.6484,54.019
7.6396,77.963
8.182,83.881
1.0022,26.007
1.7812,33.196
3.5963,45.609
0.56705,20.567
5.2189,57.184
3.3585,45.728
1.7567,30.082
